Team,Games,G,GA,xG,xGA,NPxG,NPxGA
Arsenal,8,19,10,10.41,10.95,10.41,10.95
Bournemouth,8,16,12,16.08,9.25,12.27,7.73
Brighton,8,9,13,9.49,14.71,6.44,12.43
Burnley,8,10,12,7.69,14.11,7.69,13.35
Cardiff,8,4,17,7.44,13.68,7.44,11.4
Chelsea,8,18,5,15.72,8.59,13.44,8.59
Crystal Palace,8,5,9,7.02,11.56,7.02,9.28
Everton,8,13,12,9.52,9.76,8.76,9
Fulham,8,9,21,9.41,18,9.41,15.71
Huddersfield,8,4,17,4.75,13.26,4.75,11.74
Leicester,8,14,12,9.14,8.58,7.62,7.05
Liverpool,8,15,3,16.66,5.9,15.9,5.14
Manchester City,8,21,3,22.49,4,21.72,4
Manchester United,8,13,14,12.83,10.98,10.54,10.22
Newcastle,8,6,13,5.98,12.86,5.22,11.34
Southampton,8,6,14,10.61,14.02,9.09,13.26
Tottenham,8,15,7,14.79,9.66,13.27,9.66
Watford,8,11,12,10.55,11.01,10.55,10.25
West Ham,8,8,13,8.73,13.32,7.97,13.32
Wolverhampton Wanderers,8,9,6,11.06,6.15,11.06,6.15
